序列号(SN),验证码,状态,硬件信息,软件信息,时间
21023512345678900001,OCR自动填,Success,[],[],2025-12-10 19:06:47
21023512345678900002,OCR自动填,Success,[],[],2025-12-10 19:06:51
序列号(SN),验证码,状态,硬件信息,软件信息,时间
21023512345678900001,OCR自动填,Success,[],[],2025-12-10 19:10:35
21023512345678900002,OCR自动填,Success,[],[],2025-12-10 19:10:40
序列号(SN),验证码,状态,硬件信息,软件信息,时间
21023512345678900001,OCR自动填,Success,[],[],2025-12-10 19:31:34
21023512345678900002,OCR自动填,Success,[],[],2025-12-10 19:31:41
序列号(SN),验证码,状态,硬件信息,软件信息,时间
21023512345678900001,OCR自动填,Success,[],[],2025-12-10 19:43:20
21023512345678900002,OCR自动填,Success,[],[],2025-12-10 19:43:25
